"uid"	"sample_id"	"taxon_id"	"marker"	"abundance"	"total"	"paper_id"	"primers"	"continent"	"sample_type"	"marker_size"	"Biome"	"MAT"	"MAP"	"pH"	"year_of_sampling"	"plants_dominant"	"target_gene"	"sequencing_platform"	"Species"	"geometry"
"ho16"	"h18"	"hotu_8"	"LSU"	51	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Claroideoglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_14"	"LSU"	1273	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Rhizoglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_30"	"LSU"	1484	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Rhizoglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_33"	"LSU"	95	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_43"	"LSU"	110	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_44"	"LSU"	692	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Rhizoglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_45"	"LSU"	184	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_46"	"LSU"	356	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_48"	"LSU"	37	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_58"	"LSU"	28	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_63"	"LSU"	893	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Rhizoglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_73"	"LSU"	1	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_81"	"LSU"	18	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Paraglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_84"	"LSU"	517	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Rhizoglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_85"	"LSU"	1	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Acaulospora_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_89"	"LSU"	74	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_90"	"LSU"	371	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_96"	"LSU"	48	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Septoglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_100"	"LSU"	146	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Rhizoglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_104"	"LSU"	4	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Claroideoglomus_sp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_106"	"LSU"	3	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
"ho16"	"h18"	"hotu_109"	"LSU"	1	24899	"House_2018"	"LROR/FLR2"	"North America"	"root"	NA	"anthropogenic"	13.14000034	112	"7.1"	"2015"	NA	"LSU"	"Illumina"	"Glomeraceae_spp"	c(-93.966553, 38.03751)
