"NCBI_idv"	"authors"	"journal"	"year"	"title"	"pubmed_id"	"remark"
"AF396782.1"	"Jansa,J.; Mozafar,A.; Kuhn,G.; Anken,T.; Ruh,R.; Sanders,I.R.; Frossard,E."	"Unpublished"	"Unpublished"	"Community composition of arbuscular mycorrhizal (AM) fungi colonising roots of field-grown maize is affected by tillage intensity"	NA	NA
"AY639235.1"	"Gamper,H.A.; Walker,C.; Schussler,A."	"New Phytol. 182 (2), 495-506 (2009)"	"2009"	"Diversispora celata sp. nov: molecular ecology and phylotaxonomy of an inconspicuous arbuscular mycorrhizal fungus"	"19338635"	NA
"FJ461853.1"	"Amarasinghe,B.H.R.R.; Morton,J.B."	"Unpublished"	"Unpublished"	"Implications for 25S rRNA gene sequences in complementing recognition and delimitation of fungal species in Glomeromycota"	NA	NA
"FM876790.1"	"Kruger,M.; Stockinger,H.; Kruger,C.; Schussler,A."	"New Phytol. 183 (1), 212-223 (2009)"	"2009"	"DNA-based species level detection of Glomeromycota: one PCR primer set for all arbuscular mycorrhizal fungi"	"19368665"	NA
"FM876805.1"	"Kruger,M.; Stockinger,H.; Kruger,C.; Schussler,A."	"New Phytol. 183 (1), 212-223 (2009)"	"2009"	"DNA-based species level detection of Glomeromycota: one PCR primer set for all arbuscular mycorrhizal fungi"	"19368665"	NA
"FM876806.1"	"Kruger,M.; Stockinger,H.; Kruger,C.; Schussler,A."	"New Phytol. 183 (1), 212-223 (2009)"	"2009"	"DNA-based species level detection of Glomeromycota: one PCR primer set for all arbuscular mycorrhizal fungi"	"19368665"	NA
"FM876831.1"	"Kruger,M.; Stockinger,H.; Kruger,C.; Schussler,A."	"New Phytol. 183 (1), 212-223 (2009)"	"2009"	"DNA-based species level detection of Glomeromycota: one PCR primer set for all arbuscular mycorrhizal fungi"	"19368665"	NA
"FM876832.1"	"Kruger,M.; Stockinger,H.; Kruger,C.; Schussler,A."	"New Phytol. 183 (1), 212-223 (2009)"	"2009"	"DNA-based species level detection of Glomeromycota: one PCR primer set for all arbuscular mycorrhizal fungi"	"19368665"	NA
"FM992391.1"	"Stockinger,H.; Walker,C.; Schussler,A."	"New Phytol. 183 (4), 1176-1187 (2009)"	"2009"	"'Glomus intraradices DAOM197198', a model fungus in arbuscular mycorrhiza research, is not Glomus intraradices"	"19496945"	NA
"FM992400.1"	"Stockinger,H.; Walker,C.; Schussler,A."	"New Phytol. 183 (4), 1176-1187 (2009)"	"2009"	"'Glomus intraradices DAOM197198', a model fungus in arbuscular mycorrhiza research, is not Glomus intraradices"	"19496945"	NA
"FN547496.1"	"Stockinger,H.; Kruger,M.; Schussler,A."	"New Phytol. 187 (2), 461-474 (2010)"	"2010"	"DNA barcoding of arbuscular mycorrhizal fungi"	"20456046"	NA
"FN547517.1"	"Stockinger,H.; Kruger,M.; Schussler,A."	"New Phytol. 187 (2), 461-474 (2010)"	"2010"	"DNA barcoding of arbuscular mycorrhizal fungi"	"20456046"	NA
"FR750062.1"	"Kruger,M.; Kruger,C.; Walker,C.; Stockinger,H.; Schussler,A."	"New Phytol. 193 (4), 970-984 (2012)"	"2012"	"Phylogenetic reference data for systematics and phylotaxonomy of arbuscular mycorrhizal fungi from phylum to species level"	"22150759"	NA
"FR750072.1"	"Kruger,M.; Kruger,C.; Walker,C.; Stockinger,H.; Schussler,A."	"New Phytol. 193 (4), 970-984 (2012)"	"2012"	"Phylogenetic reference data for systematics and phylotaxonomy of arbuscular mycorrhizal fungi from phylum to species level"	"22150759"	NA
"FR750155.1"	"Kruger,M.; Kruger,C.; Walker,C.; Stockinger,H.; Schussler,A."	"New Phytol. 193 (4), 970-984 (2012)"	"2012"	"Phylogenetic reference data for systematics and phylotaxonomy of arbuscular mycorrhizal fungi from phylum to species level"	"22150759"	NA
"FR750167.1"	"Kruger,M.; Kruger,C.; Walker,C.; Stockinger,H.; Schussler,A."	"New Phytol. 193 (4), 970-984 (2012)"	"2012"	"Phylogenetic reference data for systematics and phylotaxonomy of arbuscular mycorrhizal fungi from phylum to species level"	"22150759"	NA
"FR750203.1"	"Kruger,M.; Kruger,C.; Walker,C.; Stockinger,H.; Schussler,A."	"New Phytol. 193 (4), 970-984 (2012)"	"2012"	"Phylogenetic reference data for systematics and phylotaxonomy of arbuscular mycorrhizal fungi from phylum to species level"	"22150759"	NA
"FR750526.1"	"Kruger,M.; Kruger,C.; Walker,C.; Stockinger,H.; Schussler,A."	"New Phytol. 193 (4), 970-984 (2012)"	"2012"	"Phylogenetic reference data for systematics and phylotaxonomy of arbuscular mycorrhizal fungi from phylum to species level"	"22150759"	NA
"FR865445.1"	"Oehl,F.; da Silva,G.A.; Sanchez-Castro,I.; Goto,B.T.; Maia,L.C.; Vieira,H.E.E.; Barea,J.M.; Sieverding,E.; Palenzuela,J."	"Mycotaxon 117, 297-316 (2011)"	"2011"	"Revision of Glomeromycetes with entrophosporoid and glomoid spore formation, with two genera nova"	NA	NA
"GU980757.1"	"Furrazola,E.; Herrera-Peraza,R.; Kaonongbua,W.; Bever,J.D."	"Mycotaxon 113, 101-109 (2010)"	"2010"	"Glomus candidum, a new species of arbuscular mycorrhizal fungi from North American grassland"	NA	NA
"JF439210.1"	"Sun,X.; Liang,Y.; Wang,F.; Ding,Q.; Ma,K."	"Submitted (24-FEB-2011) Chinese Academy of Sciences, Institute of Botany, No. 20 Nanxincun, Xiangshan, Haidian District, Beijing, Beijing 100093, China"	"24-FEB-2011"	"Direct Submission"	NA	NA
"JN131593.1"	"Blaszkowski,J.; Kovacs,G.M.; Gaspar,B.; Balazs,T.; Buscot,F.; Ryszka,P."	"Mycologia (2011) In press"	"2011"	"The arbuscular mycorrhizal Paraglomus majewskii sp. nov. represents a distinct basal lineage in Glomeromycota"	"21914831"	"Publication Status: Available-Online prior to print"
"KJ564133.1"	"Blaszkowski,J.; Chwat,G.; Goralska,A.; Ryszka,P.; Kovacs,G.M."	"Nova Hedwigia 100 (1-2), 225-238 (2015)"	"2015"	"Two new genera, Dominikia and Kamienskia, and D. disticha sp. nov. in Glomeromycota"	NA	NA
"KJ564140.1"	"Blaszkowski,J.; Chwat,G.; Goralska,A.; Ryszka,P.; Kovacs,G.M."	"Nova Hedwigia 100 (1-2), 225-238 (2015)"	"2015"	"Two new genera, Dominikia and Kamienskia, and D. disticha sp. nov. in Glomeromycota"	NA	NA
"KJ564144.1"	"Blaszkowski,J.; Chwat,G.; Goralska,A.; Ryszka,P.; Kovacs,G.M."	"Nova Hedwigia 100 (1-2), 225-238 (2015)"	"2015"	"Two new genera, Dominikia and Kamienskia, and D. disticha sp. nov. in Glomeromycota"	NA	NA
