id	paper_id	primers	longitude	latitude	continent	sample_type	Biome	marker_size	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform
2h	House_2018	LROR/FLR2	-99.06328218	35.39507573	North America	root	anthropogenic		15.60000038	77.17999878	NA	2015	NA	LSU	Illumina
3h	House_2018	LROR/FLR2	-99.06328218	35.39507573	North America	root	anthropogenic		15.60000038	77.17999878	NA	2015	NA	LSU	Illumina
4h	House_2018	LROR/FLR2	-99.06328218	35.39507573	North America	root	anthropogenic		15.60000038	77.17999878	NA	2015	NA	LSU	Illumina
5h	House_2018	LROR/FLR2	-99.38975858	38.85727608	North America	root	anthropogenic		12.07999992	59.99899902	7.5	2015	NA	LSU	Illumina
6h	House_2018	LROR/FLR2	-99.38975858	38.85727608	North America	root	anthropogenic		12.07999992	59.99899902	7.5	2015	NA	LSU	Illumina
7h	House_2018	LROR/FLR2	-99.38975858	38.85727608	North America	root	anthropogenic		12.07999992	59.99899902	7.5	2015	NA	LSU	Illumina
8h	House_2018	LROR/FLR2	-99.38975858	38.85727608	North America	root	anthropogenic		12.07999992	59.99899902	7.5	2015	NA	LSU	Illumina
9h	House_2018	LROR/FLR2	-95.2734155	38.17517917	North America	root	anthropogenic		13.15999985	104.1140015	NA	2015	NA	LSU	Illumina
10h	House_2018	LROR/FLR2	-95.2734155	38.17517917	North America	root	anthropogenic		13.15999985	104.1140015	NA	2015	NA	LSU	Illumina
11h	House_2018	LROR/FLR2	-96.61068608	39.101306	North America	root	anthropogenic		12.69999981	85.80999756	6.2	2015	NA	LSU	Illumina
12h	House_2018	LROR/FLR2	-96.61068608	39.101306	North America	root	anthropogenic		12.69999981	85.80999756	6.2	2015	NA	LSU	Illumina
13h	House_2018	LROR/FLR2	-99.06328218	35.39507573	North America	root	anthropogenic		15.60000038	77.17999878	NA	2015	NA	LSU	Illumina
14h	House_2018	LROR/FLR2	-96.61068608	39.101306	North America	root	anthropogenic		12.69999981	85.80999756	6.2	2015	NA	LSU	Illumina
16h	House_2018	LROR/FLR2	-94.32701867	37.7531015	North America	root	anthropogenic		13.39000034	115.9099976	7.1	2015	NA	LSU	Illumina
17h	House_2018	LROR/FLR2	-94.32701867	37.7531015	North America	root	anthropogenic		13.39000034	115.9099976	7.1	2015	NA	LSU	Illumina
18h	House_2018	LROR/FLR2	-93.966553	38.03751	North America	root	anthropogenic		13.14000034	112.4589966	7.1	2015	NA	LSU	Illumina
19h	House_2018	LROR/FLR2	-94.0076355	37.918751	North America	root	anthropogenic		13.27999973	117.526001	7.1	2015	NA	LSU	Illumina
20h	House_2018	LROR/FLR2	-92.9389252	40.3836088	North America	root	anthropogenic		10.57999992	101.802002	5.8	2015	NA	LSU	Illumina
21h	House_2018	LROR/FLR2	-92.9389252	40.3836088	North America	root	anthropogenic		10.57999992	101.802002	5.8	2015	NA	LSU	Illumina
22h	House_2018	LROR/FLR2	-95.19140575	39.05142625	North America	root	anthropogenic		12.72999954	99.16099854	NA	2015	NA	LSU	Illumina
23h	House_2018	LROR/FLR2	-95.19140575	39.05142625	North America	root	anthropogenic		12.72999954	99.16099854	NA	2015	NA	LSU	Illumina
24h	House_2018	LROR/FLR2	-99.05505886	35.41975329	North America	root	grassland		15.53999996	77.65900269	7.7	2015	NA	LSU	Illumina
25h	House_2018	LROR/FLR2	-99.05505886	35.41975329	North America	root	grassland		15.53999996	77.65900269	7.7	2015	NA	LSU	Illumina
26h	House_2018	LROR/FLR2	-99.05505886	35.41975329	North America	root	grassland		15.53999996	77.65900269	7.7	2015	NA	LSU	Illumina
27h	House_2018	LROR/FLR2	-99.05505886	35.41975329	North America	root	grassland		15.53999996	77.65900269	7.7	2015	NA	LSU	Illumina
28h	House_2018	LROR/FLR2	-99.05505886	35.41975329	North America	root	grassland		15.53999996	77.65900269	7.7	2015	NA	LSU	Illumina
29h	House_2018	LROR/FLR2	-99.05505886	35.41975329	North America	root	grassland		15.53999996	77.65900269	7.7	2015	NA	LSU	Illumina
30h	House_2018	LROR/FLR2	-99.05505886	35.41975329	North America	root	grassland		15.53999996	77.65900269	7.7	2015	NA	LSU	Illumina
31h	House_2018	LROR/FLR2	-99.05505886	35.41975329	North America	root	grassland		15.53999996	77.65900269	7.7	2015	NA	LSU	Illumina
32h	House_2018	LROR/FLR2	-99.38082858	38.85682283	North America	root	grassland		12.10000038	60.06599731	7.7	2015	NA	LSU	Illumina
33h	House_2018	LROR/FLR2	-99.38082858	38.85682283	North America	root	grassland		12.10000038	60.06599731	7.7	2015	NA	LSU	Illumina
34h	House_2018	LROR/FLR2	-99.38082858	38.85682283	North America	root	grassland		12.10000038	60.06599731	7.7	2015	NA	LSU	Illumina
35h	House_2018	LROR/FLR2	-99.38082858	38.85682283	North America	root	grassland		12.10000038	60.06599731	7.7	2015	NA	LSU	Illumina
36h	House_2018	LROR/FLR2	-99.38082858	38.85682283	North America	root	grassland		12.10000038	60.06599731	7.7	2015	NA	LSU	Illumina
37h	House_2018	LROR/FLR2	-96.57481869	39.0747675	North America	root	grassland		12.27999973	87.51300049	6.3	2015	NA	LSU	Illumina
38h	House_2018	LROR/FLR2	-96.57481869	39.0747675	North America	root	grassland		12.27999973	87.51300049	6.3	2015	NA	LSU	Illumina
39h	House_2018	LROR/FLR2	-96.57481869	39.0747675	North America	root	grassland		12.27999973	87.51300049	6.3	2015	NA	LSU	Illumina
40h	House_2018	LROR/FLR2	-96.57481869	39.0747675	North America	root	grassland		12.27999973	87.51300049	6.3	2015	NA	LSU	Illumina
41h	House_2018	LROR/FLR2	-95.20516083	39.045255	North America	root	grassland		12.67000008	99.06699829	6.2	2015	NA	LSU	Illumina
42h	House_2018	LROR/FLR2	-95.20516083	39.045255	North America	root	grassland		12.67000008	99.06699829	6.2	2015	NA	LSU	Illumina
43h	House_2018	LROR/FLR2	-95.20516083	39.045255	North America	root	grassland		12.67000008	99.06699829	6.2	2015	NA	LSU	Illumina
44h	House_2018	LROR/FLR2	-95.26524683	38.18098717	North America	root	grassland		13.14000034	104.0849976	6.1	2015	NA	LSU	Illumina
45h	House_2018	LROR/FLR2	-95.26524683	38.18098717	North America	root	grassland		13.14000034	104.0849976	6.1	2015	NA	LSU	Illumina
46h	House_2018	LROR/FLR2	-95.20516083	39.045255	North America	root	grassland		12.67000008	99.06699829	6.2	2015	NA	LSU	Illumina
47h	House_2018	LROR/FLR2	-95.26524683	38.18098717	North America	root	grassland		13.14000034	104.0849976	6.1	2015	NA	LSU	Illumina
48h	House_2018	LROR/FLR2	-88.614962	40.746575	North America	root	grassland		10.48999977	91.33800049	NA	2015	NA	LSU	Illumina
49h	House_2018	LROR/FLR2	-88.614962	40.746575	North America	root	grassland		10.48999977	91.33800049	NA	2015	NA	LSU	Illumina
50h	House_2018	LROR/FLR2	-88.604523	41.084919	North America	root	grassland		10.21000004	93.75300293	NA	2015	NA	LSU	Illumina
51h	House_2018	LROR/FLR2	-88.604523	41.084919	North America	root	grassland		10.21000004	93.75300293	NA	2015	NA	LSU	Illumina
52h	House_2018	LROR/FLR2	-88.310368	41.363385	North America	root	grassland		9.920000076	92.80499878	NA	2015	NA	LSU	Illumina
53h	House_2018	LROR/FLR2	-88.310368	41.363385	North America	root	grassland		9.920000076	92.80499878	NA	2015	NA	LSU	Illumina
54h	House_2018	LROR/FLR2	-96.57481869	39.0747675	North America	root	grassland		12.27999973	87.51300049	6.3	2015	NA	LSU	Illumina
55h	House_2018	LROR/FLR2	-96.57481869	39.0747675	North America	root	grassland		12.27999973	87.51300049	6.3	2015	NA	LSU	Illumina
56h	House_2018	LROR/FLR2	-96.57481869	39.0747675	North America	root	grassland		12.27999973	87.51300049	6.3	2015	NA	LSU	Illumina
57h	House_2018	LROR/FLR2	-96.57481869	39.0747675	North America	root	grassland		12.27999973	87.51300049	6.3	2015	NA	LSU	Illumina
58h	House_2018	LROR/FLR2	-95.26524683	38.18098717	North America	root	grassland		13.14000034	104.0849976	6.1	2015	NA	LSU	Illumina
59h	House_2018	LROR/FLR2	-94.330491	37.74267725	North America	root	grassland		13.38000011	115.8130005	5.7	2015	NA	LSU	Illumina
60h	House_2018	LROR/FLR2	-94.330491	37.74267725	North America	root	grassland		13.38000011	115.8130005	5.7	2015	NA	LSU	Illumina
61h	House_2018	LROR/FLR2	-94.34219075	37.76951325	North America	root	grassland		13.39000034	116.1930054	5.7	2015	NA	LSU	Illumina
62h	House_2018	LROR/FLR2	-94.34219075	37.76951325	North America	root	grassland		13.39000034	116.1930054	5.7	2015	NA	LSU	Illumina
63h	House_2018	LROR/FLR2	-94.0065035	37.918058	North America	root	grassland		13.27999973	117.526001	5.9	2015	NA	LSU	Illumina
64h	House_2018	LROR/FLR2	-94.0065035	37.918058	North America	root	grassland		13.27999973	117.526001	5.9	2015	NA	LSU	Illumina
65h	House_2018	LROR/FLR2	-93.96640275	38.056607	North America	root	grassland		13.11999989	112.0939941	5.9	2015	NA	LSU	Illumina
66h	House_2018	LROR/FLR2	-93.96640275	38.056607	North America	root	grassland		13.11999989	112.0939941	5.9	2015	NA	LSU	Illumina
67h	House_2018	LROR/FLR2	-92.94081314	40.38335914	North America	root	grassland		10.57999992	101.802002	6.3	2015	NA	LSU	Illumina
68h	House_2018	LROR/FLR2	-92.94081314	40.38335914	North America	root	grassland		10.57999992	101.802002	6.3	2015	NA	LSU	Illumina
69h	House_2018	LROR/FLR2	-88.4588195	40.39647167	North America	root	anthropogenic		10.60000038	97.0960022	6.1	2015	NA	LSU	Illumina
70h	House_2018	LROR/FLR2	-88.4588195	40.39647167	North America	root	anthropogenic		10.60000038	97.0960022	6.1	2015	NA	LSU	Illumina
71h	House_2018	LROR/FLR2	-88.4588195	40.39647167	North America	root	anthropogenic		10.60000038	97.0960022	6.1	2015	NA	LSU	Illumina
72h	House_2018	LROR/FLR2	-88.05861467	40.4619665	North America	root	anthropogenic		10.47999954	96.87299805	7.3	2015	NA	LSU	Illumina
73h	House_2018	LROR/FLR2	-88.05861467	40.4619665	North America	root	anthropogenic		10.47999954	96.87299805	7.3	2015	NA	LSU	Illumina
74h	House_2018	LROR/FLR2	-88.05861467	40.4619665	North America	root	anthropogenic		10.47999954	96.87299805	7.3	2015	NA	LSU	Illumina
75h	House_2018	LROR/FLR2	-97.19373271	36.06813871	North America	root	grassland		15.88000011	92.50599976	NA	2015	NA	LSU	Illumina
76h	House_2018	LROR/FLR2	-97.19373271	36.06813871	North America	root	grassland		15.88000011	92.50599976	NA	2015	NA	LSU	Illumina
77h	House_2018	LROR/FLR2	-97.19373271	36.06813871	North America	root	grassland		15.88000011	92.50599976	NA	2015	NA	LSU	Illumina
78h	House_2018	LROR/FLR2	-97.19373271	36.06813871	North America	root	grassland		15.88000011	92.50599976	NA	2015	NA	LSU	Illumina
79h	House_2018	LROR/FLR2	-97.2384445	36.05959213	North America	root	anthropogenic		15.89999962	92.20200195	NA	2015	NA	LSU	Illumina
80h	House_2018	LROR/FLR2	-97.2384445	36.05959213	North America	root	anthropogenic		15.89999962	92.20200195	NA	2015	NA	LSU	Illumina
81h	House_2018	LROR/FLR2	-97.2384445	36.05959213	North America	root	anthropogenic		15.89999962	92.20200195	NA	2015	NA	LSU	Illumina
99h	House_2018	LROR/FLR2	-96.8526083	39.1297639	North America	root	grassland		12.63000011	84.17700195	6.4	2013	NA	LSU	Illumina
100h	House_2018	LROR/FLR2	-96.8800194	39.1205056	North America	root	anthropogenic		12.76000023	83.6460022	7.8	2013	NA	LSU	Illumina
103h	House_2018	LROR/FLR2	-96.8526083	39.1297639	North America	root	grassland		12.63000011	84.17700195	6.3	2013	NA	LSU	Illumina
104h	House_2018	LROR/FLR2	-96.8800194	39.1205056	North America	root	anthropogenic		12.76000023	83.6460022	7.8	2013	NA	LSU	Illumina
105h	House_2018	LROR/FLR2	-96.8800194	39.1205056	North America	root	anthropogenic		12.76000023	83.6460022	7.7	2013	NA	LSU	Illumina
107h	House_2018	LROR/FLR2	-96.882791	39.16071	North America	root	anthropogenic		12.63000011	84.17700195	NA	2013	NA	LSU	Illumina
108h	House_2018	LROR/FLR2	-96.882791	39.16071	North America	root	anthropogenic		12.63000011	84.17700195	NA	2013	NA	LSU	Illumina
111h	House_2018	LROR/FLR2	-96.8800194	39.1205056	North America	root	anthropogenic		12.76000023	83.6460022	7.9	2013	NA	LSU	Illumina
112h	House_2018	LROR/FLR2	-96.8526083	39.1297639	North America	root	grassland		12.63000011	84.17700195	6.5	2013	NA	LSU	Illumina
115h	House_2018	LROR/FLR2	-96.882791	39.16071	North America	root	anthropogenic		12.63000011	84.17700195	7.7	2013	NA	LSU	Illumina
116h	House_2018	LROR/FLR2	-96.882791	39.16071	North America	root	anthropogenic		12.63000011	84.17700195	7.9	2013	NA	LSU	Illumina
117h	House_2018	LROR/FLR2	-96.8526083	39.1297639	North America	root	grassland		12.63000011	84.17700195	6.5	2013	NA	LSU	Illumina
118h	House_2018	LROR/FLR2	-96.882791	39.16071	North America	root	anthropogenic		12.63000011	84.17700195	7.9	2013	NA	LSU	Illumina
119h	House_2018	LROR/FLR2	-88.150725	40.2834194	North America	root	anthropogenic		10.77999973	99.7460022	7.4	2013	NA	LSU	Illumina
120h	House_2018	LROR/FLR2	-88.150725	40.2834194	North America	root	anthropogenic		10.77999973	99.7460022	7.3	2013	NA	LSU	Illumina
121h	House_2018	LROR/FLR2	-88.13255	40.2849	North America	root	anthropogenic		10.77000046	99.71500244	7.433333333	2013	NA	LSU	Illumina
123h	House_2018	LROR/FLR2	-96.8526083	39.1297639	North America	root	grassland		12.63000011	84.17700195	6.3	2013	NA	LSU	Illumina
124h	House_2018	LROR/FLR2	-96.8800194	39.1205056	North America	root	anthropogenic		12.76000023	83.6460022	7.7	2013	NA	LSU	Illumina
125h	House_2018	LROR/FLR2	-96.8526083	39.1297639	North America	root	grassland		12.63000011	84.17700195	6.8	2013	NA	LSU	Illumina
132h	House_2018	LROR/FLR2	-96.882791	39.16071	North America	root	anthropogenic		12.63000011	84.17700195	7.8	2013	NA	LSU	Illumina
133h	House_2018	LROR/FLR2	-96.8526083	39.1297639	North America	root	grassland		12.63000011	84.17700195	6.3	2013	NA	LSU	Illumina
134h	House_2018	LROR/FLR2	-96.8800194	39.1205056	North America	root	anthropogenic		12.76000023	83.6460022	7.5	2013	NA	LSU	Illumina
135h	House_2018	LROR/FLR2	-88.13255	40.2849	North America	root	anthropogenic		10.77000046	99.71500244	7.433333333	2013	NA	LSU	Illumina
136h	House_2018	LROR/FLR2	-88.0753528	40.5271528	North America	root	grassland		10.38000011	96.38800049	6.7	2013	NA	LSU	Illumina
137h	House_2018	LROR/FLR2	-88.0753528	40.5271528	North America	root	grassland		10.38000011	96.38800049	6.8	2013	NA	LSU	Illumina
138h	House_2018	LROR/FLR2	-88.1048667	40.439825	North America	root	grassland		10.53999996	96.88099976	6.4	2013	NA	LSU	Illumina
140h	House_2018	LROR/FLR2	-87.997225	40.3057611	North America	root	grassland		10.76000023	98.93300171	5.6	2013	NA	LSU	Illumina
141h	House_2018	LROR/FLR2	-87.9244333	40.4610278	North America	root	grassland		10.59000015	97.3539978	5.7	2013	NA	LSU	Illumina
142h	House_2018	LROR/FLR2	-87.9244333	40.4610278	North America	root	grassland		10.59000015	97.3539978	5.6	2013	NA	LSU	Illumina
