id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform
1	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3542	50.0572	Europe	topsoil	23626	grassland	8.7	485	7.25	2018	Echinops sphaerocephalus	ITS2	Illumina
2	Rezacova_2019_1CU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4 	16.0784	50.2663	Europe	soil	18894	grassland	8.8	676	7.36	2013	NA_	ITS2	Illumina
3	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.6514	50.5714	Europe	root	13138	grassland	8.7	580	6.42	2018	Arrhenatherum elatius	ITS2	Illumina
4	DeCastro_2018_1AS	SSUmAf1+2/LSUmAr1 to 4 then 250f/LSUmBr then ITS3/ITS4	12.5335	38.0341	Europe	root	102629	aquatic	18.6	511	NA_	2013	Pancratium maritimum	ITS2	Illumina
5	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3542	50.0572	Europe	root	14645	grassland	8.7	485	7.25	2018	Daucus carota	ITS2	Illumina
6	Rezacova_2019_1CU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4 	15.227	50.145	Europe	soil	20417	grassland	9	692	7.42	2013	NA_	ITS2	Illumina
7	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3542	50.0572	Europe	root	20137	grassland	8.7	485	7.25	2018	Achillea millefolium	ITS2	Illumina
8	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3542	50.0572	Europe	root	20862	grassland	8.7	485	7.25	2018	Achillea millefolium	ITS2	Illumina
9	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	17.0861	49.5289	Europe	root	16432	grassland	9.1	617	7.59	2018	Daucus carota	ITS2	Illumina
10	DeCastro_2018_1AS	SSUmAf1+2/LSUmAr1 to 4 then 250f/LSUmBr then ITS3/ITS4	14.0475	40.8485	Europe	root	97766	aquatic	17.4	831	NA_	2013	Pancratium maritimum	ITS2	Illumina
11	DeCastro_2018_1AS	SSUmAf1+2/LSUmAr1 to 4 then 250f/LSUmBr then ITS3/ITS4	14.0475	40.8485	Europe	root	85159	aquatic	17.4	831	NA_	2013	Pancratium maritimum	ITS2	Illumina
12	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.2944	50.085	Europe	topsoil	22152	grassland	8.4	491	7.08	2018	Echinops sphaerocephalus	ITS2	Illumina
13	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.2897	50.115	Europe	root	25278	grassland	8.5	509	6.33	2018	Symphiotrichum novi-belgii	ITS2	Illumina
14	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.2944	50.085	Europe	root	14647	grassland	8.4	491	7.08	2018	Arrhenatherum elatius	ITS2	Illumina
15	DeCastro_2018_1AS	SSUmAf1+2/LSUmAr1 to 4 then 250f/LSUmBr then ITS3/ITS4	12.5335	38.0341	Europe	root	107241	aquatic	18.6	511	NA_	2013	Pancratium maritimum	ITS2	Illumina
16	Bouffaud_2016_CC48	SSUmCf/LSUmBr then ITS3m/ITS4	0.34	49.27	Europe	soil	20358	grassland	11.1	721	5.44	2012	NA_	ITS2	454Roche
17	Bouffaud_2016_CC48	SSUmCf/LSUmBr then ITS3m/ITS4	1.23	49.14	Europe	soil	8527	forest	10.8	772	5.33	2012	NA_	ITS2	454Roche
