id,paper_id,primers,longitude,latitude,continent,sample_type,Biome,marker_size,MAT,MAP,pH,year_of_sampling,plants_dominant,target_gene,sequencing_platform,Sample,Spring/Fall,Original_Sample_ID,Original,Sample,ID,sitePlot,Plot_Loc,Plot_Loc_Rep,Country,State,Site,Remnant,LUH,Depth_cm,SiteLat,SiteLong,CoordLat,CoordLong
MAPS_FA18_EKS_A01_S005,Ramos_2024,LROR/FLR2,-95.248295,38.538676,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_133_S133_L001,Fall,EKS_A01_S005,EKS,A01,S005,EKS_A01,EKS_A,1,US,KS,EKS,No,A,5,38.181,-95.273,38.538676,-95.248295
MAPS_FA18_EKS_A01_S015,Ramos_2024,LROR/FLR2,-95.248295,38.538676,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_136_S136_L001,Fall,EKS_A01_S015,EKS,A01,S015,EKS_A01,EKS_A,1,US,KS,EKS,No,A,15,38.181,-95.273,38.538676,-95.248295
MAPS_FA18_EKS_A01_S030,Ramos_2024,LROR/FLR2,-95.248295,38.538676,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_135_S135_L001,Fall,EKS_A01_S030,EKS,A01,S030,EKS_A01,EKS_A,1,US,KS,EKS,No,A,30,38.181,-95.273,38.538676,-95.248295
MAPS_FA18_EKS_A01_S075,Ramos_2024,LROR/FLR2,-95.248295,38.538676,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_127_S127_L001,Fall,EKS_A01_S075,EKS,A01,S075,EKS_A01,EKS_A,1,US,KS,EKS,No,A,75,38.181,-95.273,38.538676,-95.248295
MAPS_FA18_EKS_A01_S120,Ramos_2024,LROR/FLR2,-95.248295,38.538676,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_131_S131_L001,Fall,EKS_A01_S120,EKS,A01,S120,EKS_A01,EKS_A,1,US,KS,EKS,No,A,120,38.181,-95.273,38.538676,-95.248295
MAPS_FA18_EKS_A02_S005,Ramos_2024,LROR/FLR2,-95.247927,38.538674,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_121_S121_L001,Fall,EKS_A02_S005,EKS,A02,S005,EKS_A02,EKS_A,2,US,KS,EKS,No,A,5,38.181,-95.273,38.538674,-95.247927
MAPS_FA18_EKS_A02_S015,Ramos_2024,LROR/FLR2,-95.247927,38.538674,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_128_S128_L001,Fall,EKS_A02_S015,EKS,A02,S015,EKS_A02,EKS_A,2,US,KS,EKS,No,A,15,38.181,-95.273,38.538674,-95.247927
MAPS_FA18_EKS_A02_S030,Ramos_2024,LROR/FLR2,-95.247927,38.538674,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_129_S129_L001,Fall,EKS_A02_S030,EKS,A02,S030,EKS_A02,EKS_A,2,US,KS,EKS,No,A,30,38.181,-95.273,38.538674,-95.247927
MAPS_FA18_EKS_A02_S075,Ramos_2024,LROR/FLR2,-95.247927,38.538674,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_132_S132_L001,Fall,EKS_A02_S075,EKS,A02,S075,EKS_A02,EKS_A,2,US,KS,EKS,No,A,75,38.181,-95.273,38.538674,-95.247927
MAPS_FA18_EKS_A02_S120,Ramos_2024,LROR/FLR2,-95.247927,38.538674,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_125_S125_L001,Fall,EKS_A02_S120,EKS,A02,S120,EKS_A02,EKS_A,2,US,KS,EKS,No,A,120,38.181,-95.273,38.538674,-95.247927
MAPS_FA18_EKS_A03_S005,Ramos_2024,LROR/FLR2,-95.247549,38.538672,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_118_S118_L001,Fall,EKS_A03_S005,EKS,A03,S005,EKS_A03,EKS_A,3,US,KS,EKS,No,A,5,38.181,-95.273,38.538672,-95.247549
MAPS_FA18_EKS_A03_S015,Ramos_2024,LROR/FLR2,-95.247549,38.538672,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_123_S123_L001,Fall,EKS_A03_S015,EKS,A03,S015,EKS_A03,EKS_A,3,US,KS,EKS,No,A,15,38.181,-95.273,38.538672,-95.247549
MAPS_FA18_EKS_A03_S030,Ramos_2024,LROR/FLR2,-95.247549,38.538672,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_117_S117_L001,Fall,EKS_A03_S030,EKS,A03,S030,EKS_A03,EKS_A,3,US,KS,EKS,No,A,30,38.181,-95.273,38.538672,-95.247549
