"uid"	"sample_id"	"marker"	"total"	"taxon_id"	"abundance"
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_312"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_794"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_1437"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_2125"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_2220"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_3178"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_3240"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_5002"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_6277"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_7055"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_7148"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_7306"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_8008"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_10176"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_11967"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_17961"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_17983"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_23833"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_24527"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_29647"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_32408"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_34097"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_39773"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_44915"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_46569"	0
"MAPS_2019_AMF_100_S36_L001"	"MAPS_2019_RKS_P01_S005"	"LSU"	0	"masv_60333"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_312"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_794"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_1437"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_2125"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_2220"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_3178"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_3240"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_5002"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_6277"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_7055"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_7148"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_7306"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_8008"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_10176"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_11967"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_17961"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_17983"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_23833"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_24527"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_29647"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_32408"	0
"MAPS_2019_AMF_106_S42_L001"	"MAPS_2019_RKS_A01_S005"	"LSU"	0	"masv_34097"	0
