taxa_id	marker	Kingdom	Phylum	Class	Order	Family	Genus	Species
masv_1014	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_10306	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Diversisporaceae	Diversispora	Diversispora_sp
masv_10310	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_10354	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_sp
masv_10384	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_10492	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_10504	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Diversisporaceae	Diversisporaceae_spp	Diversisporaceae_spp
masv_1066	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_10722	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_10834	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Sclerocystaceae_Kamienskiaceae_spp	Sclerocystaceae_Kamienskiaceae_spp
masv_10835	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
masv_10861	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_11012	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_11013	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_1107	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Paraglomeraceae	Paraglomus	Paraglomus_sp
masv_11137	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_11176	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_11445	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_1146	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_11481	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_11482	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_11483	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_1152	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_1154	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_11623	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_1171	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_11710	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
masv_11769	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomeraceae	Complexispora	Complexispora_sp
masv_11775	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
masv_11893	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_11935	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_12022	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_12068	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
masv_12118	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Septoglomeraceae	Septoglomus	Septoglomus_sp
masv_1221	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Paraglomeraceae	Paraglomus	Paraglomus_sp
masv_12333	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
masv_1239	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Paraglomeraceae	Paraglomus	Paraglomus_sp
masv_1245	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Sclerocystaceae_Kamienskiaceae_spp	Sclerocystaceae_Kamienskiaceae_spp
masv_12450	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_12468	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_12471	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
masv_12487	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_1250	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_12575	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_12586	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Paraglomeraceae	Paraglomus	Paraglomus_sp
masv_12602	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
