id	paper_id	primers	longitude	latitude	continent	sample_type	Biome	marker_size	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	id
MAPS_FA18_EKS_A01_S005	Delavaux_2024	LROR/FLR2	-95.248295	38.538676	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_A02_S005	Delavaux_2024	LROR/FLR2	-95.247927	38.538674	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_A03_S005	Delavaux_2024	LROR/FLR2	-95.247549	38.538672	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_A04_S005	Delavaux_2024	LROR/FLR2	-95.247167	38.538658	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_N02_S005	Delavaux_2024	LROR/FLR2	-95.272367	38.18125	North America	soil	grassland					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_N03_S005	Delavaux_2024	LROR/FLR2	-95.27235	38.181017	North America	soil	grassland					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_N04_S005	Delavaux_2024	LROR/FLR2	-95.2726	38.181	North America	soil	grassland					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_P01_S005	Delavaux_2024	LROR/FLR2	-95.2742	38.1812	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_P02_S005	Delavaux_2024	LROR/FLR2	-95.274167	38.1814	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_P03_S005	Delavaux_2024	LROR/FLR2	-95.273917	38.181433	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
MAPS_FA18_EKS_P04_S005	Delavaux_2024	LROR/FLR2	-95.273917	38.181233	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
MAPS_FA18_HAY_A01_S005	Delavaux_2024	LROR/FLR2	-99.314623	38.842726	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
MAPS_FA18_HAY_A02_S005	Delavaux_2024	LROR/FLR2	-99.314623	38.842887	North America	soil	anthropogenic					2018		LSU	Illumina	MAPS
