taxa_id	marker	Kingdom	Phylum	Class	Order	Family	Genus	Species
AF396782	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora	Gigaspora margarita
AY639235	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora celata
FJ461853	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus viscosum
FM876790	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata
FM876805	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus sp.
FM876806	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus sp.
FM876831	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Pacisporaceae	Pacispora	Pacispora scintillans
FM876832	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Pacisporaceae	Pacispora	Pacispora scintillans
FM992391	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus proliferus
FM992400	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus proliferus
FN547496	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonius
FN547517	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis
FR750062	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus claroideum
FR750072	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus fasciculatus
FR750155	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora spinosa
FR750167	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata	Dentiscutata heterogama
FR750203	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
FR750526	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus macrocarpum
FR865445	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Otospora	Otospora bareae
GU980757	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus candidum
JF439210	LSU	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora gerdemannii
JN131593	LSU	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Innospora	Innospora majewskii
KJ564133	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Kamienskia	Kamienskia bistrata
KJ564140	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Microkamienskia	Microkamienskia perpusilla
KJ564144	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Microkamienskia	Microkamienskia perpusilla
KJ564151	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia iranica
KJ564165	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia minuta
KJ564166	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia indica
KX758121	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Microkamienskia	Microkamienskia divaricata
KX758123	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Microkamienskia	Microkamienskia divaricata
KY630232	LSU	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Innospora	Innospora majewskii
MG459208	LSU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Desertispora	Desertispora omaniana
MG710519	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Microdominikia	Microdominikia litorea
MH560602	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Halonatospora	Halonatospora panshihalos
MH560604	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Halonatospora	Halonatospora panshihalos
MT832168	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus lamellosum
MT832170	LSU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora infrequens
